# Generation: 300
# Total size: 5000; maximum age: 66
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0300, b=-0.3000, k=0.1911, t_0=10.0000
0	0	89	96	0
1	0	80	112	0
2	0	91	99	0
3	0	80	105	0
4	0	96	90	0
5	0	98	84	0
6	0	80	98	0
7	0	93	101	0
8	0	92	83	0
9	0	105	102	0
10	0	101	87	0
11	2	90	80	4
12	4	81	95	2
13	10	95	78	6
14	6	78	93	8
15	11	59	69	11
16	12	72	75	20
17	15	78	69	15
18	12	52	61	15
19	18	54	60	21
20	20	49	56	9
21	17	44	49	17
22	12	38	43	13
23	15	44	36	19
24	17	41	22	16
25	17	27	26	23
26	18	23	26	19
27	20	21	21	23
28	22	15	15	13
29	20	11	11	10
30	14	19	14	18
31	11	17	13	18
32	15	11	9	18
33	13	5	7	8
34	6	5	5	14
35	11	2	3	9
36	10	5	5	10
37	16	2	3	10
38	8	3	4	9
39	3	0	1	14
40	7	1	1	2
41	5	0	0	7
42	5	0	0	7
43	2	0	0	4
44	5	0	0	2
45	3	0	0	1
46	2	0	0	3
47	2	0	0	2
48	0	0	0	3
49	2	0	0	1
50	1	0	0	0
51	0	0	0	2
52	0	0	0	1
53	1	0	0	1
54	0	0	0	1
55	0	0	0	0
56	3	0	0	0
57	1	0	0	0
58	0	0	0	0
59	1	0	0	0
60	0	0	0	0
61	0	0	0	0
62	1	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	1	0	0	0
