# Generation: 300
# Total size: 5000; maximum age: 141
# Age	SmurfMales	Males	Females	SmurfFemales
# Parameters of mortality model: a=0.0039, b=-0.0190, k=0.1911, t_0=4.8718
0	0	33	41	0
1	0	47	43	0
2	0	56	52	0
3	0	46	45	0
4	0	47	47	0
5	0	45	55	0
6	0	44	43	1
7	0	56	44	0
8	0	37	51	2
9	1	54	45	1
10	1	44	53	0
11	1	49	46	0
12	1	43	49	0
13	1	42	49	2
14	3	43	39	2
15	0	45	40	0
16	0	52	55	1
17	0	47	40	3
18	2	43	45	3
19	4	43	48	1
20	1	39	48	1
21	2	39	46	1
22	2	40	30	1
23	4	43	37	2
24	3	38	40	4
25	3	43	44	1
26	0	43	25	2
27	3	38	39	3
28	4	32	29	2
29	1	44	31	4
30	4	30	40	2
31	2	37	35	6
32	5	28	40	2
33	5	35	32	3
34	5	35	32	0
35	2	37	38	6
36	2	21	26	7
37	4	27	26	3
38	5	23	30	4
39	4	27	17	7
40	1	23	20	9
41	3	32	34	5
42	6	19	20	2
43	2	34	32	5
44	5	23	21	1
45	6	22	23	4
46	4	28	17	2
47	1	20	19	6
48	4	15	20	7
49	1	22	19	3
50	2	18	17	2
51	2	19	25	5
52	5	17	17	2
53	4	14	17	1
54	5	19	23	5
55	3	19	15	4
56	5	17	9	3
57	3	13	8	9
58	2	10	16	1
59	5	20	9	4
60	2	10	13	3
61	4	16	15	1
62	1	11	12	0
63	3	14	15	4
64	4	11	12	7
65	4	15	13	5
66	2	7	11	4
67	1	13	17	0
68	3	11	5	0
69	0	7	13	6
70	1	13	5	3
71	1	6	8	4
72	2	13	8	1
73	2	6	3	2
74	0	7	6	1
75	3	3	5	3
76	1	7	7	4
77	0	5	3	3
78	2	8	4	1
79	0	8	6	3
80	2	5	4	4
81	1	3	6	0
82	3	7	5	2
83	2	4	8	3
84	1	2	2	0
85	3	1	2	2
86	3	5	4	0
87	0	3	0	2
88	2	5	4	3
89	1	3	0	0
90	1	1	2	3
91	2	6	1	3
92	2	2	0	1
93	0	3	2	0
94	1	1	2	0
95	0	0	1	0
96	0	4	1	1
97	1	2	0	0
98	1	3	0	1
99	1	1	2	1
100	2	2	1	0
101	0	3	1	0
102	1	1	0	0
103	2	0	1	1
104	0	2	3	1
105	1	2	0	0
106	0	0	1	0
107	0	0	1	1
108	0	1	1	0
109	0	1	0	0
110	0	1	2	0
111	1	0	0	0
112	0	0	2	0
113	1	2	1	0
114	0	1	0	0
115	0	0	0	0
116	2	0	0	0
117	0	1	0	1
118	0	0	1	0
119	0	2	0	0
120	0	3	0	0
121	0	1	2	0
122	0	0	0	0
123	0	1	0	0
124	0	0	0	0
125	0	1	0	0
126	0	0	1	0
127	0	0	0	0
128	0	0	0	0
129	0	0	0	1
130	0	0	0	0
131	0	2	0	0
132	0	0	0	0
133	0	0	0	0
134	0	0	0	0
135	0	0	0	0
136	0	0	0	0
137	0	0	0	0
138	0	0	0	0
139	0	0	0	0
140	0	0	0	0
141	0	0	1	0
