Wilson, 1994, Mech. Ageing Dev. 74:15-33. Table 4:

m(t) = a·exp(b·t)

                a            b
females      0.00573      0.0802
males        0.00679      0.1778

Curtsinger et al. 1992, Science 258:461-464. Table 2:

 	Block 1		Block 2		Block 3	
line	a	b	a	b	a	b
1x1	0.0007	0.1225	0.0021	0.0920	0.0001	0.1644
2x1	0.0008	0.0882	0.0081	0.0683	0.0012	0.0547
2x2	0.0026	0.0993	0.0175	0.0786	0.0053	0.0646
2x4	0.0026	0.0813	0.0127	0.0538	0.0014	0.0558
3x1	0.0005	0.0931	0.0079	0.0449	0.0008	0.0641
3x2	0.0010	0.0833	0.0124	0.0406	0.0042	0.0718
3x3	0.0027	0.1062	0.0130	0.0855	0.0019	0.0966
3x4	0.0030	0.0636	0.0046	0.0479	0.0010	0.0598
4x1	0.0019	0.0660	0.0057	0.0433	0.0023	0.0451
4x4	0.0019	0.0809	0.0110	0.0481	0.0016	0.0605

