#Gen	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs
  1	0.9970	0.0000	0.0000	0.9980	0.0000	0.0000	0.9990	0.0000	0.0000	0.9930	0.0000	0.0000	0.9920	0.0000	0.0000
  2	0.9860	0.0000	0.0000	0.9950	0.0000	0.0000	0.9930	0.0000	0.0000	0.9870	0.0000	0.0000	0.9890	0.0000	0.0000
  3	0.9800	0.0000	0.0000	0.9920	0.0000	0.0000	0.9880	0.0000	0.0000	0.9790	0.0000	0.0000	0.9830	0.0000	0.0000
  4	0.9730	0.0000	0.0000	0.9850	0.0000	0.0000	0.9800	0.0000	0.0000	0.9760	0.0000	0.0000	0.9670	0.0000	0.0000
  5	0.9710	0.0000	0.0000	0.9760	0.0000	0.0000	0.9740	0.0000	0.0000	0.9720	0.0000	0.0000	0.9620	0.0000	0.0000
  6	0.9640	0.0000	0.0000	0.9680	0.0000	0.0000	0.9670	0.0000	0.0000	0.9640	0.0000	0.0000	0.9540	0.0000	0.0000
  7	0.9560	0.0000	0.0000	0.9590	0.0000	0.0000	0.9540	0.0000	0.0000	0.9530	0.0000	0.0000	0.9410	0.0000	0.0000
  8	0.9460	0.0000	0.0000	0.9550	0.0000	0.0000	0.9360	0.0000	0.0000	0.9480	0.0000	0.0000	0.9300	0.0000	0.0000
  9	0.9350	0.0000	0.0000	0.9410	0.0000	0.0000	0.9290	0.0000	0.0000	0.9360	0.0000	0.0000	0.9190	0.0000	0.0000
 10	0.0000	0.9170	0.0000	0.0000	0.9250	0.0000	0.0000	0.9170	0.0000	0.0000	0.9260	0.0000	0.0000	0.9110	0.0000
 11	0.0000	0.9060	0.0000	0.0000	0.9150	0.0000	0.0000	0.8980	0.0000	0.0000	0.9140	0.0000	0.0000	0.9030	0.0000
 12	0.0000	0.8940	0.0000	0.0000	0.8930	0.0000	0.0000	0.8830	0.0000	0.0000	0.9020	0.0000	0.0000	0.8910	0.0000
