#Gen	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs
  1	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000
  2	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000
  3	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000
  4	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000
  5	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000
  6	0.9990	0.0000	0.0010	0.9980	0.0000	0.0020	0.9970	0.0000	0.0020	0.9970	0.0000	0.0020	0.9980	0.0000	0.0000
  7	0.9940	0.0000	0.0060	0.9860	0.0000	0.0110	0.9880	0.0000	0.0090	0.9920	0.0000	0.0050	0.9910	0.0000	0.0050
  8	0.9830	0.0000	0.0130	0.9780	0.0000	0.0170	0.9760	0.0000	0.0200	0.9840	0.0000	0.0090	0.9840	0.0000	0.0090
  9	0.9670	0.0000	0.0230	0.9690	0.0000	0.0240	0.9630	0.0000	0.0280	0.9770	0.0000	0.0140	0.9700	0.0000	0.0210
 10	0.0000	0.9450	0.0400	0.0000	0.9520	0.0380	0.0000	0.9440	0.0380	0.0000	0.9590	0.0250	0.0000	0.9600	0.0260
 11	0.0000	0.9210	0.0510	0.0000	0.9280	0.0560	0.0000	0.9190	0.0530	0.0000	0.9420	0.0310	0.0000	0.9350	0.0390
 12	0.0000	0.9000	0.0590	0.0000	0.9030	0.0670	0.0000	0.8990	0.0640	0.0000	0.9210	0.0430	0.0000	0.9150	0.0520
 13	0.0000	0.8750	0.0700	0.0000	0.8710	0.0820	0.0000	0.8780	0.0690	0.0000	0.8920	0.0630	0.0000	0.8920	0.0600
 14	0.0000	0.8460	0.0830	0.0000	0.8460	0.0940	0.0000	0.8430	0.0870	0.0000	0.8620	0.0790	0.0000	0.8610	0.0770
 15	0.0000	0.8120	0.0940	0.0000	0.8130	0.1080	0.0000	0.8060	0.1020	0.0000	0.8270	0.0920	0.0000	0.8240	0.0990
 16	0.0000	0.7810	0.1000	0.0000	0.7930	0.1090	0.0000	0.7750	0.1080	0.0000	0.7850	0.1070	0.0000	0.7920	0.1060
 17	0.0000	0.7570	0.1060	0.0000	0.7590	0.1210	0.0000	0.7290	0.1300	0.0000	0.7500	0.1190	0.0000	0.7580	0.1240
 18	0.0000	0.7290	0.1150	0.0000	0.7260	0.1220	0.0000	0.6980	0.1380	0.0000	0.7130	0.1270	0.0000	0.7260	0.1260
 19	0.0000	0.6900	0.1270	0.0000	0.6870	0.1370	0.0000	0.6600	0.1440	0.0000	0.6780	0.1340	0.0000	0.6840	0.1380
 20	0.0000	0.6490	0.1360	0.0000	0.6460	0.1530	0.0000	0.6280	0.1430	0.0000	0.6380	0.1430	0.0000	0.6520	0.1420
 21	0.0000	0.6080	0.1510	0.0000	0.6160	0.1540	0.0000	0.5880	0.1530	0.0000	0.5990	0.1540	0.0000	0.6190	0.1450
 22	0.0000	0.5620	0.1720	0.0000	0.5750	0.1600	0.0000	0.5490	0.1590	0.0000	0.5400	0.1770	0.0000	0.5840	0.1430
 23	0.0000	0.5320	0.1730	0.0000	0.5330	0.1650	0.0000	0.5170	0.1560	0.0000	0.5110	0.1660	0.0000	0.5480	0.1450
 24	0.0000	0.4970	0.1750	0.0000	0.4960	0.1640	0.0000	0.4750	0.1580	0.0000	0.4660	0.1730	0.0000	0.5190	0.1400
 25	0.0000	0.4660	0.1560	0.0000	0.4610	0.1580	0.0000	0.4450	0.1580	0.0000	0.4400	0.1760	0.0000	0.4810	0.1440
 26	0.0000	0.4230	0.1650	0.0000	0.4310	0.1580	0.0000	0.4100	0.1640	0.0000	0.4090	0.1730	0.0000	0.4480	0.1430
 27	0.0000	0.3870	0.1670	0.0000	0.3980	0.1540	0.0000	0.3700	0.1630	0.0000	0.3800	0.1610	0.0000	0.4100	0.1520
 28	0.0000	0.3490	0.1770	0.0000	0.3560	0.1590	0.0000	0.3380	0.1400	0.0000	0.3470	0.1560	0.0000	0.3800	0.1470
 29	0.0000	0.3160	0.1720	0.0000	0.3280	0.1520	0.0000	0.3090	0.1370	0.0000	0.3150	0.1540	0.0000	0.3480	0.1490
 30	0.0000	0.2870	0.1780	0.0000	0.2990	0.1490	0.0000	0.2740	0.1520	0.0000	0.2920	0.1500	0.0000	0.3210	0.1420
 31	0.0000	0.2600	0.1650	0.0000	0.2590	0.1510	0.0000	0.2470	0.1460	0.0000	0.2650	0.1520	0.0000	0.2780	0.1520
 32	0.0000	0.2410	0.1500	0.0000	0.2300	0.1500	0.0000	0.2210	0.1370	0.0000	0.2360	0.1460	0.0000	0.2570	0.1420
 33	0.0000	0.2210	0.1420	0.0000	0.2100	0.1440	0.0000	0.1990	0.1250	0.0000	0.2170	0.1390	0.0000	0.2400	0.1310
 34	0.0000	0.2010	0.1310	0.0000	0.1820	0.1420	0.0000	0.1780	0.1200	0.0000	0.1890	0.1360	0.0000	0.2210	0.1170
 35	0.0000	0.1740	0.1330	0.0000	0.1640	0.1380	0.0000	0.1520	0.1150	0.0000	0.1610	0.1320	0.0000	0.2020	0.1110
 36	0.0000	0.1570	0.1220	0.0000	0.1400	0.1370	0.0000	0.1300	0.1090	0.0000	0.1450	0.1150	0.0000	0.1860	0.0960
 37	0.0000	0.1390	0.1170	0.0000	0.1280	0.1220	0.0000	0.1180	0.0990	0.0000	0.1280	0.1110	0.0000	0.1710	0.0920
 38	0.0000	0.1160	0.1190	0.0000	0.1140	0.1130	0.0000	0.1070	0.0930	0.0000	0.1110	0.1110	0.0000	0.1540	0.0930
 39	0.0000	0.1000	0.1170	0.0000	0.0980	0.1090	0.0000	0.0900	0.0900	0.0000	0.0970	0.0960	0.0000	0.1300	0.0980
 40	0.0000	0.0870	0.1180	0.0000	0.0860	0.1000	0.0000	0.0760	0.0890	0.0000	0.0830	0.0940	0.0000	0.1210	0.0910
