#Gen	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs	Larvae	Adults	Smurfs
  1	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.0000
  2	0.9980	0.0000	0.0000	1.0000	0.0000	0.0000	0.9990	0.0000	0.0000	0.9990	0.0000	0.0000	0.9980	0.0000	0.0000
  3	0.9940	0.0000	0.0000	0.9990	0.0000	0.0000	0.9990	0.0000	0.0000	0.9960	0.0000	0.0000	0.9970	0.0000	0.0000
  4	0.9910	0.0000	0.0000	0.9980	0.0000	0.0000	0.9940	0.0000	0.0000	0.9930	0.0000	0.0000	0.9970	0.0000	0.0000
  5	0.9870	0.0000	0.0000	0.9900	0.0000	0.0000	0.9890	0.0000	0.0000	0.9850	0.0000	0.0000	0.9910	0.0000	0.0000
  6	0.9800	0.0000	0.0000	0.9860	0.0000	0.0000	0.9820	0.0000	0.0000	0.9830	0.0000	0.0000	0.9890	0.0000	0.0000
  7	0.9720	0.0000	0.0000	0.9770	0.0000	0.0000	0.9720	0.0000	0.0000	0.9760	0.0000	0.0000	0.9820	0.0000	0.0000
  8	0.9640	0.0000	0.0000	0.9680	0.0000	0.0000	0.9650	0.0000	0.0000	0.9670	0.0000	0.0000	0.9730	0.0000	0.0000
  9	0.9520	0.0000	0.0000	0.9520	0.0000	0.0000	0.9500	0.0000	0.0000	0.9560	0.0000	0.0000	0.9600	0.0000	0.0000
 10	0.0000	0.9340	0.0000	0.0000	0.9410	0.0000	0.0000	0.9400	0.0000	0.0000	0.9460	0.0000	0.0000	0.9470	0.0000
 11	0.0000	0.9240	0.0000	0.0000	0.9220	0.0000	0.0000	0.9330	0.0000	0.0000	0.9290	0.0000	0.0000	0.9280	0.0000
 12	0.0000	0.9050	0.0000	0.0000	0.9040	0.0000	0.0000	0.9180	0.0000	0.0000	0.9110	0.0000	0.0000	0.9140	0.0000
 13	0.0000	0.8820	0.0000	0.0000	0.8920	0.0000	0.0000	0.9000	0.0000	0.0000	0.8900	0.0000	0.0000	0.8840	0.0000
 14	0.0000	0.8600	0.0000	0.0000	0.8640	0.0000	0.0000	0.8830	0.0000	0.0000	0.8680	0.0000	0.0000	0.8720	0.0000
 15	0.0000	0.8390	0.0000	0.0000	0.8430	0.0000	0.0000	0.8700	0.0000	0.0000	0.8540	0.0000	0.0000	0.8490	0.0000
 16	0.0000	0.8160	0.0000	0.0000	0.8180	0.0000	0.0000	0.8410	0.0000	0.0000	0.8360	0.0000	0.0000	0.8250	0.0000
 17	0.0000	0.7880	0.0000	0.0000	0.7880	0.0000	0.0000	0.8180	0.0000	0.0000	0.8010	0.0000	0.0000	0.7860	0.0000
 18	0.0000	0.7570	0.0000	0.0000	0.7650	0.0000	0.0000	0.7920	0.0000	0.0000	0.7780	0.0000	0.0000	0.7550	0.0000
 19	0.0000	0.7290	0.0000	0.0000	0.7370	0.0000	0.0000	0.7720	0.0000	0.0000	0.7450	0.0000	0.0000	0.7220	0.0000
 20	0.0000	0.7010	0.0000	0.0000	0.7130	0.0000	0.0000	0.7360	0.0000	0.0000	0.7130	0.0000	0.0000	0.7000	0.0000
 21	0.0000	0.6790	0.0000	0.0000	0.6930	0.0000	0.0000	0.7120	0.0000	0.0000	0.6750	0.0000	0.0000	0.6690	0.0000
 22	0.0000	0.6480	0.0000	0.0000	0.6550	0.0000	0.0000	0.6900	0.0000	0.0000	0.6400	0.0000	0.0000	0.6340	0.0000
 23	0.0000	0.6120	0.0000	0.0000	0.6250	0.0000	0.0000	0.6610	0.0000	0.0000	0.6190	0.0000	0.0000	0.6070	0.0000
 24	0.0000	0.5690	0.0000	0.0000	0.5900	0.0000	0.0000	0.6310	0.0000	0.0000	0.5930	0.0000	0.0000	0.5700	0.0000
 25	0.0000	0.5330	0.0000	0.0000	0.5640	0.0000	0.0000	0.5850	0.0000	0.0000	0.5690	0.0000	0.0000	0.5380	0.0000
 26	0.0000	0.5040	0.0000	0.0000	0.5180	0.0000	0.0000	0.5570	0.0000	0.0000	0.5340	0.0000	0.0000	0.5090	0.0000
 27	0.0000	0.4760	0.0000	0.0000	0.4810	0.0000	0.0000	0.5230	0.0000	0.0000	0.5030	0.0000	0.0000	0.4870	0.0000
 28	0.0000	0.4500	0.0000	0.0000	0.4470	0.0000	0.0000	0.4880	0.0000	0.0000	0.4720	0.0000	0.0000	0.4460	0.0000
 29	0.0000	0.4310	0.0000	0.0000	0.4170	0.0000	0.0000	0.4550	0.0000	0.0000	0.4390	0.0000	0.0000	0.4120	0.0000
 30	0.0000	0.3990	0.0000	0.0000	0.3870	0.0000	0.0000	0.4210	0.0000	0.0000	0.4030	0.0000	0.0000	0.3850	0.0000
 31	0.0000	0.3700	0.0000	0.0000	0.3540	0.0000	0.0000	0.3890	0.0000	0.0000	0.3780	0.0000	0.0000	0.3680	0.0000
 32	0.0000	0.3380	0.0000	0.0000	0.3280	0.0000	0.0000	0.3580	0.0000	0.0000	0.3450	0.0000	0.0000	0.3440	0.0000
 33	0.0000	0.3140	0.0000	0.0000	0.3120	0.0000	0.0000	0.3390	0.0000	0.0000	0.3160	0.0000	0.0000	0.3060	0.0000
 34	0.0000	0.2850	0.0000	0.0000	0.2950	0.0000	0.0000	0.3150	0.0000	0.0000	0.2900	0.0000	0.0000	0.2780	0.0000
 35	0.0000	0.2560	0.0000	0.0000	0.2670	0.0000	0.0000	0.2920	0.0000	0.0000	0.2660	0.0000	0.0000	0.2520	0.0000
 36	0.0000	0.2240	0.0000	0.0000	0.2480	0.0000	0.0000	0.2630	0.0000	0.0000	0.2450	0.0000	0.0000	0.2300	0.0000
 37	0.0000	0.2000	0.0000	0.0000	0.2300	0.0000	0.0000	0.2370	0.0000	0.0000	0.2260	0.0000	0.0000	0.2030	0.0000
 38	0.0000	0.1770	0.0000	0.0000	0.2060	0.0000	0.0000	0.2150	0.0000	0.0000	0.2080	0.0000	0.0000	0.1880	0.0000
